Nombre,Área,Objetivo,KR,Tipo,Líder,Participantes,Fecha Inicio,Fecha Término,% Avance,Estado,Notas
Asegurar ejecución de capacitaciones (según corresponda en Q2),ABA | Planificación,B| Implementación de iniciativas de mejora continua,09 | Ejecución y seguimiento plan de capacitaciones,Tarea,C. Páez,C. Páez,2025-05-01,2035-05-30,0%,Pendiente,
C| Road Map Digital,ABA | Planificación,C| Road Map Digital,,Objetivo,,,,,0%,Pendiente,
10 | Formalizar Roadmap digital ABA,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Key Result,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Levantar necesidades de capacitación/digitalización/automatización/asistencia IA con las áreas,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-05-10,0%,Pendiente,
Definir estrategia y propósito de roadmap digital,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-05-10,0%,Pendiente,
Matriz impacto/esfuerzo,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-05-10,0%,Pendiente,
Generar roadmap digital,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-05-10,0%,Pendiente,
Validar con GAB,ABA | Planificación,C| Road Map Digital,10 | Formalizar Roadmap digital ABA,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2025-04-30,2025-05-10,0%,Pendiente,
11 | Evaluación de mejoras de proceso priorizado 1,ABA | Planificación,C| Road Map Digital,11 | Evaluación de mejoras de proceso priorizado 1,Key Result,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Levantamiento de proceso actual,ABA | Planificación,C| Road Map Digital,11 | Evaluación de mejoras de proceso priorizado 1,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Identificar brechas,ABA | Planificación,C| Road Map Digital,11 | Evaluación de mejoras de proceso priorizado 1,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Propuesta de mejora,ABA | Planificación,C| Road Map Digital,11 | Evaluación de mejoras de proceso priorizado 1,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Elaborar plan de implementación,ABA | Planificación,C| Road Map Digital,11 | Evaluación de mejoras de proceso priorizado 1,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
12 | Evaluación de mejoras de proceso priorizado 2,ABA | Planificación,C| Road Map Digital,12 | Evaluación de mejoras de proceso priorizado 2,Key Result,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Levantamiento de proceso actual,ABA | Planificación,C| Road Map Digital,12 | Evaluación de mejoras de proceso priorizado 2,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Identificar brechas,ABA | Planificación,C| Road Map Digital,12 | Evaluación de mejoras de proceso priorizado 2,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Propuesta de mejora,ABA | Planificación,C| Road Map Digital,12 | Evaluación de mejoras de proceso priorizado 2,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Elaborar plan de implementación,ABA | Planificación,C| Road Map Digital,12 | Evaluación de mejoras de proceso priorizado 2,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
13 | Evaluación de mejoras de proceso priorizado 3,ABA | Planificación,C| Road Map Digital,13 | Evaluación de mejoras de proceso priorizado 3,Key Result,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Levantamiento de proceso actual,ABA | Planificación,C| Road Map Digital,13 | Evaluación de mejoras de proceso priorizado 3,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Identificar brechas,ABA | Planificación,C| Road Map Digital,13 | Evaluación de mejoras de proceso priorizado 3,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Propuesta de mejora,ABA | Planificación,C| Road Map Digital,13 | Evaluación de mejoras de proceso priorizado 3,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
Elaborar plan de implementación,ABA | Planificación,C| Road Map Digital,13 | Evaluación de mejoras de proceso priorizado 3,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-06-10,0%,Pendiente,
14 | Ejecución de capacitaciones de IA aplicada,ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Key Result,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Definir de capacitación en IA aplicada a contratar,ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-05-10,0%,Pendiente,
Coordinar sesiones (fechas y relatores),ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-05-10,2026-05-20,0%,Pendiente,
Ejecutar capacitaciones,ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-06-01,2026-06-30,0%,Pendiente,
Medir asistencia y satisfacción,ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-06-20,2026-06-30,0%,Pendiente,
Levantar oportunidades de aplicación práctica,ABA | Planificación,C| Road Map Digital,14 | Ejecución de capacitaciones de IA aplicada,Tarea,"C. Lazo, A. Sadykov, C. Páez","C. Lazo, A. Sadykov, C. Páez",2026-06-20,2026-06-30,0%,Pendiente,
,ABA | Planificación,,,Objetivo,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Key Result,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Key Result,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Key Result,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Key Result,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
XXX,ABA | Planificación,,XXX,Tarea,,,,,0%,Pendiente,
